ReceiptNr;CustomerNr;InventoryNr;Quantity;netPrice;Tax;grossPrice
1000;1000;1000;3;1,17;REDUCED_TAX;1,2518999999999998
1000;1000;1001;2;1,18;REDUCED_TAX;1,2626
1000;1000;1002;1;0,49;REDUCED_TAX;0,5243
1000;1000;1003;1;0,79;REDUCED_TAX;0,8453
1000;1000;1009;1;249,99;REDUCED_TAX;267,4893
1000;1000;1008;1;1,99;REDUCED_TAX;2,1293
1001;1000;1001;1;0,59;REDUCED_TAX;0,6313
1001;1000;1002;4;1,96;REDUCED_TAX;2,0972
1002;1000;1001;2;1,18;REDUCED_TAX;1,2626
1002;1000;1002;2;0,98;REDUCED_TAX;1,0486
1002;1000;1000;1;0,39;REDUCED_TAX;0,4173
1002;1000;1009;1;249,99;REDUCED_TAX;267,4893
1002;1000;1010;1;20,49;REDUCED_TAX;21,924299999999995
